Url,BathroomCount,BedroomCount,ConstructionYear,District,FloodingZone,Furnished,Garden,GardenArea,Kitchen,LivingArea,MonthlyCharges,NumberOfFacades,PEB,PostalCode,Price,PropertyId,Province,Region,RoomCount,ShowerCount,StateOfBuilding,SubtypeOfProperty,SurfaceOfPlot,SwimmingPool,Terrace,ToiletCount,TypeOfProperty,TypeOfSale
https://www.immoweb.be/en/classified/apartment/for-sale/herzele/9550/10945506,1.0,1,1958.0,0.0,8.0,0.0,0.0,0.0,2.0,88.0,0.0,0.0,14.0,9550,218000,10945506,7,0,0.0,0.0,3.0,0,0.0,0.0,1.0,1.0,2,0
https://www.immoweb.be/en/classified/apartment/for-sale/herzele/9550/10945505,1.0,1,1958.0,0.0,8.0,0.0,0.0,0.0,2.0,126.0,0.0,2.0,13.0,9550,248000,10945505,7,0,0.0,0.0,3.0,0,0.0,0.0,1.0,1.0,2,0
https://www.immoweb.be/en/classified/house/for-rent/linkebeek/1630/10945272,3.0,4,0.0,13.0,8.0,0.0,1.0,680.0,6.0,289.0,0.0,4.0,10.0,1630,4500,10945272,6,0,0.0,0.0,5.0,23,2500.0,0.0,1.0,3.0,1,1
https://www.immoweb.be/en/classified/apartment/for-sale/turnhout/2300/10945226,1.0,3,1974.0,37.0,6.0,0.0,0.0,0.0,6.0,210.0,0.0,4.0,11.0,2300,499000,10945226,5,0,0.0,0.0,5.0,19,0.0,0.0,1.0,2.0,2,0
https://www.immoweb.be/en/classified/apartment/for-sale/nieuwpoort/8620/10944929,1.0,2,2024.0,38.0,8.0,0.0,0.0,0.0,4.0,91.0,0.0,0.0,15.0,8620,465000,10944929,0,0,0.0,1.0,3.0,0,0.0,0.0,0.0,1.0,2,0
https://www.immoweb.be/en/classified/apartment/for-sale/zeebrugge/8380/10944875,2.0,4,1966.0,5.0,8.0,0.0,0.0,0.0,4.0,115.0,0.0,2.0,10.0,8380,299000,10944875,0,0,13.0,2.0,1.0,0,0.0,0.0,0.0,2.0,2,0
https://www.immoweb.be/en/classified/apartment/for-sale/knokke/8300/10944713,2.0,3,2009.0,5.0,8.0,0.0,0.0,0.0,4.0,122.0,0.0,2.0,14.0,8300,1095000,10944713,0,0,13.0,1.0,3.0,0,0.0,0.0,1.0,2.0,2,0
https://www.immoweb.be/en/classified/house/for-sale/sint-truiden/3800/10944416,1.0,3,1958.0,14.0,8.0,0.0,0.0,0.0,2.0,157.0,0.0,4.0,3.0,3800,199000,10944416,2,0,0.0,0.0,0.0,11,651.0,0.0,0.0,0.0,1,0
https://www.immoweb.be/en/classified/house/for-sale/meise/1860/10943997,2.0,4,0.0,13.0,8.0,0.0,1.0,950.0,7.0,320.0,0.0,4.0,10.0,1860,1090000,10943997,6,0,0.0,0.0,5.0,7,1105.0,0.0,1.0,3.0,1,0
https://www.immoweb.be/en/classified/apartment/for-sale/waregem/8790/10943887,1.0,2,1993.0,16.0,8.0,0.0,0.0,0.0,2.0,116.0,0.0,3.0,13.0,8790,215000,10943887,0,0,0.0,0.0,3.0,0,0.0,0.0,1.0,1.0,2,0
